"DIM2","Näitaja","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2007","2007",11326.2026,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2008","2008",11703.6406,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2009","2009",10277.4333,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2010","2010",10466.6885,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2011","2011",11926.9579,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2012","2012",13012.5959,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2013","2013",14033.2001,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2014","2014",14826.8531,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2015","2015",15364.1553,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2016","2016",16106.8115,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","2017","2017",17571.4116,,
